35.685,139.7514,35676000
40.6943,-73.9249,19354922
19.4424,-99.131,19028000
19.017,72.857,18978000
-23.5587,-46.625,18845000
28.67,77.23,15926000
31.2165,121.4365,14987000
22.495,88.3247,14787000
34.1139,-118.4068,12815475
23.7231,90.4086,12797394
-34.6025,-58.3975,12795000
24.87,66.99,12130000
30.05,31.25,11893000
-22.925,-43.225,11748000
34.75,135.4601,11294000
39.9289,116.3883,11106000
14.6042,120.9822,11100000
55.7522,37.6155,10452000
41.105,29.01,10061000
48.8667,2.3333,9904000
37.5663,126.9997,9796000
6.4433,3.3915,9466000
-6.1744,106.8294,9125000
23.145,113.325,8829000
41.8373,-87.6862,8675982
51.5,-0.1167,8567000
-12.048,-77.0501,8012000
35.6719,51.4243,7873000
-4.3297,15.315,7843000
4.5964,-74.0833,7772000
22.5524,114.1221,7581000
30.58,114.27,7243000
22.305,114.185,7206000
39.13,117.2,7180000
13.09,80.28,7163000
25.0358,121.5683,6900273
12.97,77.56,6787000
13.75,100.5166,6704000
31.56,74.35,6577000
29.565,106.595,6461000
25.7839,-80.2102,6381966
17.4,78.48,6376000
32.7936,-96.7662,5733259
-33.45,-70.667,5720000
40.0077,-75.1339,5637884
-19.915,-43.915,5575000
40.4,-3.6834,5567000
29.7869,-95.3905,5446468
23.0301,72.58,5375000
10.78,106.695,5314000
38.9047,-77.0163,5289420
33.7627,-84.4225,5228750
43.7,-79.42,5213000
1.293,103.8558,5183700
-8.8383,13.2344,5172900
33.3386,44.3939,5054000
41.3833,2.1834,4920000
22.5804,88.3299,4841638
41.805,123.45,4787000
15.5881,32.5342,4754000
18.53,73.85,4672000
42.3188,-71.0846,4637537
-33.92,151.1852,4630000
59.939,30.316,4553000
22.33,91.8,4529000
23.0489,113.7447,4528000
24.6408,46.7727,4465000
21.0333,105.85,4378000
20.67,-103.33,4198000
-37.82,144.975,4170000
31.2,29.95,4165000
30.67,104.07,4123000
16.7834,96.1667,4088000
33.5722,-112.0891,4081849
34.275,108.895,4009000
-30.05,-51.2,3917000
21.2,72.84,3842000
23.0965,109.6091,3830000
5.32,-4.04,3802000
-15.7833,-47.9161,3716996
39.9272,32.8644,3716000
25.67,-100.33,3712000
35.32,139.58,3697894
32.05,118.78,3679000
45.5,-73.5833,3678000
26.58,106.72,3662000
-8.0756,-34.9156,3651000
47.6211,-122.3244,3643765
45.75,126.65,3621000
37.7562,-122.443,3603761
-3.75,-38.58,3602319
24.5204,117.67,3531147
42.3834,-83.1024,3522206
-12.97,-38.48,3484000
35.0951,129.01,3480000
-26.17,28.03,3435000
52.5218,13.4015,3406000
36.7631,3.0506,3354000
41.896,12.4833,3339000
